Area,Case Count,Population
Nevada,Data Suppressed,Data Suppressed
Vermont,Data Suppressed,Data Suppressed
Maine,32,683374
Minnesota,130,2813822
District of Columbia,18,368643
North Dakota,21,435205
South Dakota,73,1565310
Utah,18,370046
Massachusetts,200,3542925
Montana,30,526813
New Hampshire,37,682692
Connecticut,113,1829397
Arizona,208,3600640
Colorado,173,2825526
Wisconsin,183,2918181
Virginia,277,4318025
Nebraska,59,964240
Maryland,214,3111203
Oregon,145,2108799
Washington,250,3758918
Hawaii,51,709302
North Carolina,389,5331288
Pennsylvania,478,6529381
Illinois,356,5067862
Michigan,491,6471727
New York,792,10046133
California,1511,19843136
Ohio,450,5953904
Georgia,415,5399300
South Carolina,214,2620391
Indiana,268,3394211
New Jersey,394,4545338
Idaho,48,543427
Missouri,69,873205
Rhode Island,264,3116702
Alabama,220,2524361
Alaska,29,351692
Iowa,126,1581655
Florida,991,10858944
Mississippi,142,1535497
New Mexico,87,1057201
Delaware,47,498641
Kentucky,210,2263603
Tennessee,325,3466921
Texas,1299,14409351
Louisiana,225,2385448
Kansas,139,1460588
West Virginia,99,910982
Arkansas,31,283325
Wyoming,164,1531624
Oklahoma,215,1987969
